CÓDIGO,AÑO DE INGRESO,REGIÓN,DEPARTAMENTO,DISTRITO,SEXO,EDAD,ESTUDIOS ALCANZADOS,OCUPACIÓN,CARRERA PROFESIONAL O TÉCNICA
MCC-2018-0028,2018,AMAZONAS,BONGARA,FLORIDA,F,34,LICENCIADO/BACHILLER,LABORANDO,CONTABILIDAD
MCC-2018-0032,2018,AMAZONAS,CHACHAPOYAS,OLLEROS,M,35,LICENCIADO/BACHILLER,OPERADOR,ADMINISTRACION
MCC-2018-0036,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,25,LICENCIADO/BACHILLER,VENDEDOR,ADMINISTRACION
MCC-2018-0027,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,27,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AGRONOMA
MCC-2018-0029,2018,AMAZONAS,LUYA,LONGUITA,F,29,LICENCIADO/BACHILLER,DESEMPLEADO,CIENCIAS POLITICAS
MCC-2018-0037,2018,AMAZONAS,LUYA,CONILA,F,36,LICENCIADO/BACHILLER,DESEMPLEADO,COMPUTACION E INFORMATICA
MCC-2018-0039,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,38,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AGRONOMA
MCC-2018-0041,2018,AMAZONAS,CHACHAPOYAS,OLLEROS,M,33,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AGRONOMA
MCC-2018-0044,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,34,LICENCIADO/BACHILLER,INDEPENDIENTE,INGENIERIA AGRONOMA
MCC-2018-0043,2018,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,F,29,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA AGRONOMA
MCC-2018-0030,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,27,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AMBIENTAL
MCC-2018-0026,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,25,LICENCIADO/BACHILLER,ANALISTA,INGENIERIA CIVIL
MCC-2018-0040,2018,AMAZONAS,LUYA,TINGO,F,27,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA CIVIL
MCC-2018-0045,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,30,LICENCIADO/BACHILLER,DESEMPLEADO,INGENIERIA DE SISTEMAS E INFORMATICA
MCC-2018-0042,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,35,LICENCIADO/BACHILLER,DOCENCIA,TRADUCTOR
MCC-2018-0025,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,34,SECUNDARIA,ESTUDIANTE,NO INFORMO
MCC-2018-0031,2018,AMAZONAS,CHACHAPOYAS,SOLOCO,M,28,SECUNDARIA,ESTUDIANTE,NO INFORMO
MCC-2018-0033,2018,AMAZONAS,CHACHAPOYAS,OLLEROS,F,21,SECUNDARIA,ESTUDIANTE,NO INFORMO
MCC-2018-0038,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,M,24,SECUNDARIA,ESTUDIANTE,NO INFORMO
MCC-2018-0046,2018,AMAZONAS,LUYA,SANTO TOMAS,F,26,LICENCIADO/BACHILLER,DESEMPLEADO,NO INFORMO
MCC-2018-0035,2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,35,LICENCIADO/BACHILLER,LABORANDO,SECRETARIO EJECUTIVO
MCC-2019-0105,2019,AMAZONAS,UTCUBAMBA,CAJARURO,M,44,LICENCIADO/BACHILLER,CONTADOR,CONTABILIDAD
MCC-2019-0169,2019,AMAZONAS,BONGARA,JAZAN,M,24,LICENCIADO/BACHILLER,DESEMPLEADO,ADMINISTRACION DE NEGOCIOS INTERNACIONALES
MCC-2019-0181,2019,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,M,38,SECUNDARIA,AGRICULTURA,INGENIERIA AGRONOMA
MCC-2019-0182,2019,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,M,37,SECUNDARIA,AGRICULTURA,INGENIERIA AGRONOMA
MCC-2019-0126,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,41,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AGRONOMA
MCC-2019-0184,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,30,LICENCIADO/BACHILLER,LABORANDO,INGENIERIA AGRONOMA
MCC-2019-0142,2019,AMAZONAS,UTCUBAMBA,JAMALCA,F,31,PRIMARIA,AMA DE CASA,AMA DE CASA
MCC-2019-0157,2019,AMAZONAS,UTCUBAMBA,CAJARURO,F,48,SECUNDARIA,AMA DE CASA,AMA DE CASA
MCC-2019-0160,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,32,SECUNDARIA,AMA DE CASA,AMA DE CASA
MCC-2019-0161,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,42,PRIMARIA,AMA DE CASA,AMA DE CASA
MCC-2019-0172,2019,AMAZONAS,LUYA,SAN JERONIMO,F,26,LICENCIADO/BACHILLER,AMA DE CASA,AMA DE CASA
MCC-2019-0102,2019,AMAZONAS,UTCUBAMBA,JAMALCA,F,28,LICENCIADO/BACHILLER,ASISTENTE,ASISTENTE
MCC-2019-0146,2019,AMAZONAS,UTCUBAMBA,JAMALCA,F,23,ESTUDIANTE PREGRADO,LABORANDO,CONTABILIDAD
MCC-2019-0151,2019,AMAZONAS,UTCUBAMBA,CAJARURO,M,36,SECUNDARIA,COMERCIO,COMERCIANTE
MCC-2019-0156,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,63,SECUNDARIA,COMERCIO,COMERCIANTE
MCC-2019-0140,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,35,ESTUDIANTE PREGRADO,ESTUDIANTE,COMPUTACION E INFORMATICA
MCC-2019-0163,2019,AMAZONAS,BONGARA,JAZAN,M,34,LICENCIADO/BACHILLER,CHOFER,NO INFORMO
MCC-2019-0103,2019,AMAZONAS,UTCUBAMBA,CAJARURO,F,33,LICENCIADO/BACHILLER,CONTADOR,CONTABILIDAD
MCC-2019-0129,2019,AMAZONAS,BAGUA,BAGUA,F,31,LICENCIADO/BACHILLER,CONTADOR,CONTABILIDAD
MCC-2019-0114,2019,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,34,LICENCIADO/BACHILLER,DOCENCIA,EDUCACION
MCC-2019-0186,2019,AMAZONAS,LUYA,LUYA,M,52,LICENCIADO/BACHILLER,DOCENCIA,EDUCACION
MCC-2019-0183,2019,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,24,LICENCIADO/BACHILLER,LABORANDO,ECONOMIA
